Year,annual_T,annual_CO2
1959-01-01,3.0,315.975
1960-01-01,-3.0,316.9075
1961-01-01,5.0,317.638333333
1962-01-01,3.0,318.449166667
1963-01-01,6.0,318.994166667
1964-01-01,-20.0,319.618333333
1965-01-01,-10.0,320.044166667
1966-01-01,-5.0,321.381666667
1967-01-01,-2.0,322.156666667
1968-01-01,-7.0,323.045
1969-01-01,6.0,324.624166667
1970-01-01,3.0,325.680833333
1971-01-01,-9.0,326.320833333
1972-01-01,1.0,327.454166667
1973-01-01,15.0,329.6775
1974-01-01,-8.0,330.245
1975-01-01,-1.0,331.154166667
1976-01-01,-11.0,332.151666667
1977-01-01,18.0,333.900833333
1978-01-01,7.0,335.504166667
1979-01-01,17.0,336.851666667
1980-01-01,28.0,338.685
1981-01-01,33.0,339.934166667
1982-01-01,13.0,341.131666667
1983-01-01,31.0,342.78
1984-01-01,16.0,344.421666667
1985-01-01,12.0,345.903333333
1986-01-01,19.0,347.1525
1987-01-01,34.0,348.9325
1988-01-01,40.0,351.483333333
1989-01-01,29.0,352.908333333
1990-01-01,44.0,354.185833333
1991-01-01,42.0,355.591666667
1992-01-01,23.0,356.3725
1993-01-01,24.0,357.04
1994-01-01,32.0,358.884166667
1995-01-01,46.0,360.878333333
1996-01-01,35.0,362.64
1997-01-01,48.0,363.763333333
1998-01-01,63.0,366.63
1999-01-01,42.0,368.3125
2000-01-01,42.0,369.475
2001-01-01,55.0,371.02
2002-01-01,63.0,373.096666667
2003-01-01,62.0,375.636666667
2004-01-01,55.0,377.365
2005-01-01,69.0,379.625833333
2006-01-01,64.0,381.8125
2007-01-01,66.0,383.586666667
2008-01-01,54.0,385.454166667
2009-01-01,65.0,387.363333333
2010-01-01,71.0,389.9025
2011-01-01,60.0,391.650833333
2012-01-01,63.0,393.88
2013-01-01,66.0,396.5175
2014-01-01,75.0,398.6
